classes,label,full_path,width,height,ratio
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/2758.jpg,500,402,1.243781094527363
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/7545.jpg,399,500,0.798
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/8590.jpg,212,199,1.065326633165829
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/6674.jpg,375,499,0.751503006012024
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/7001.jpg,374,500,0.748
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/4755.jpg,398,347,1.1469740634005763
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/839.jpg,447,301,1.4850498338870433
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/4392.jpg,374,500,0.748
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/6582.jpg,374,500,0.748
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/6301.jpg,374,500,0.748
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/8323.jpg,374,500,0.748
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/8015.jpg,374,500,0.748
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/12340.jpg,233,349,0.667621776504298
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/4180.jpg,500,407,1.2285012285012284
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/4645.jpg,399,398,1.0025125628140703
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/163.jpg,307,306,1.0032679738562091
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/8502.jpg,239,320,0.746875
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/643.jpg,234,349,0.670487106017192
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/10472.jpg,374,500,0.748
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/1850.jpg,374,500,0.748
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/3186.jpg,311,447,0.6957494407158836
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/9582.jpg,500,374,1.3368983957219251
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/4378.jpg,374,500,0.748
test,-1,/home/workspace/capstone/MachineLearningProjects/data/test/1361.jpg,239,320,0.746875
